degree,coefficients,input_sequence,target_sequence
3,"-6,-6,3,10,0,0","198849,221698,246233,272514,300601,330554,362433,396298,432209",470226
3,"-4,9,1,7,0,0","74,221,496,941,1598",2509
3,"6,-1,-8,-6,0,0","-231,-510,-949,-1584,-2451",-3586
5,"4,8,-7,-4,-6,4","-1113932,-727657,-456776,-273281,-154108",-80657
2,"-5,4,-6,0,0,0","-85,-135,-197,-271,-357,-455,-565",-687
5,"4,-3,-4,-7,8,-9","-84877571,-103402386,-125029409,-150132944,-179116263,-212412686,-250486661,-293834844",-342987179
4,"3,-8,1,9,8,0","561283,712541,892479,1104511,1352243,1639473,1970191,2348579,2779011,3266053",3814463
4,"-9,-9,-9,8,6,0","16637,28015,44379,67001,97297",136827
1,"7,8,0,0,0,0","-9,-1,7,15,23,31,39,47,55,63",71
4,"-3,5,-10,1,10,0","1292643,1040595,827319,648621,500547,379383,281655,204129",143811
2,"0,4,-2,0,0,0","-1350,-1456,-1566,-1680,-1798,-1920,-2046,-2176,-2310,-2448",-2590
4,"7,9,7,5,-3,0","-14465,-8631,-4763,-2363,-1005,-335",-71
4,"-9,-1,-5,4,1,0","189971,229290,274397,325832,384159",449966
1,"9,-9,0,0,0,0","-162,-171,-180,-189,-198,-207",-216
3,"1,5,5,7,0,0","-8766,-6549,-4742,-3303,-2190,-1361,-774,-387,-158",-45
2,"4,-7,9,0,0,0","1434,1670,1924,2196,2486,2794,3120,3464,3826",4206
4,"-2,-6,-2,-8,-7,0","-327737,-247270,-182613,-131546,-92017",-62142
3,"2,-10,7,-5,0,0","26760,22434,18602,15234,12300,9770,7614,5802,4304",3090
2,"4,3,10,0,0,0","2612,2945,3298,3671,4064,4477,4910,5363",5836
1,"-7,2,0,0,0,0","45,47,49,51,53,55,57",59
4,"7,0,-5,-3,-2,0","-241863,-194069,-153741,-120057,-92243",-69573
5,"9,-2,-8,0,9,4","28259672,34831833,42573084,51632837,62172720",74367057
5,"-7,-10,7,-10,-10,-9","-39,-527,-3241,-12351,-35507,-84919,-178437",-340631
4,"0,8,7,-10,-5,0","-717516,-877040,-1061760,-1274196,-1516988,-1792896,-2104800,-2455700",-2848716
3,"-10,8,1,1,0,0","3042,3710,4470,5328,6290,7362",8550
3,"6,5,-4,8,0,0","16971,21244,26181,31830,38239,45456,53529,62506,72435,83364",95341
1,"10,-8,0,0,0,0","74,66,58,50,42,34,26,18",10
3,"3,7,6,2,0,0","2010,2673,3468,4407,5502,6765,8208,9843",11682
1,"10,-8,0,0,0,0","130,122,114,106,98,90",82
2,"0,8,4,0,0,0","3132,3360,3596,3840,4092,4352,4620",4896
3,"6,-9,7,-1,0,0","-14817,-16710,-18757,-20964,-23337,-25882,-28605",-31512
2,"8,0,-9,0,0,0","-892,-721,-568,-433,-316,-217,-136",-73
4,"6,10,8,2,-8,0","-161154,-222606,-300126,-396294,-513882,-655854,-825366",-1025766
4,"-2,-5,-3,1,-7,0","-16,-128,-584,-1798,-4352,-8996,-16648,-28394,-45488",-69352
4,"-9,-9,-7,-7,-4,0","-96165,-130932,-174379,-227844,-292761",-370660
4,"2,2,-10,2,-1,0","-25654,-18533,-13018,-8845,-5774,-3589",-2098
3,"8,-7,5,-2,0,0","-1562,-2126,-2812,-3632,-4598,-5722,-7016,-8492,-10162",-12038
4,"-2,6,1,5,9,0","1138839,915838,727309,569502,438883,332134,246153,178054,125167,85038",55429
5,"9,-3,10,-5,-8,-2","526821,341901,212881,126039,70101,36001,16641,6651",2149
5,"-8,-10,10,-6,3,8","6208717,8563032,11582653,15399532,20162013,26035792,33204877,41872548,52262317",64618888
2,"3,-10,6,0,0,0","47,19,3,-1,7,27,59,103,159,227",307
2,"-10,-3,-1,0,0,0","-514,-560,-608,-658,-710",-764
